ФИО,Тип,Возраст,Пол,Знак зодиака,Партия,Образование,Работа,Должность,Судимость,Задекларированный доход,Сумма на банковских счетах
"Макаровец Николай Александрович",mnogo_mandate,77,Мужской,Овен,Единая Россия,"Тульский механический институт, 1962","АО 'НПО 'СПЛАВ'","первый заместитель генерального директора - научный руководитель - генеральный конструктор","",64011066.4,76909217.55
"Валуев Николай Сергеевич",mnogo_mandate,43,Мужской,Лев,Единая Россия,"Федеральное государственное образовательное учреждение высшего профессионального образования 'Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург', 2009Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия правосудия', 2013","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по физической культуре, спорту и делам молодежи","",6624856.38,268025.96
"Любимов Николай Викторович",mnogo_mandate,45,Мужской,Скорпион,Единая Россия,"Калужский государственный педагогический институт им. К.Э. Циолковского, 1993","Законодательное Собрание Калужской области","депутат, Председатель Законодательного Собрания Калужской области","",2439727.33,205453.19
"Петрунин Николай Юрьевич",mnogo_mandate,40,Мужской,Рыбы,Единая Россия,"ГОУ ВПО 'Владимирский государственный университет', 2003Государственное образовательное учреждение высшего профессионального образования'Владимирский госудорственный университет', 2003Российский государственный социальный университет, 2005","ООО 'ПромГазСервис'","управляющий директор","",17795002.26,256408182.89
"Санина Наталья Петровна",mnogo_mandate,62,Женский,Рак,Единая Россия,"Владивостокский медицинский институт, 1980","государственное бюджетное учреждение здравоохранения Московской области 'Московский областной научно-исследовательский клинический институт им. М.Ф. Владимирского'","заместитель директора по учебной работе - декан факультета усовершенствования врачей","",3074498.23,328649.43
"Кравченко Денис Борисович",mnogo_mandate,40,Мужской,Овен,Единая Россия,"Санкт-Петербургский государственный технический университет, 1999","Открытое акционерное общество 'Объединенная ракетно-космическая корпорация'","первый заместитель генерального директора - Статс-секретарь","",15511516.79,8453529.6
"Кононов Владимир Михайлович",mnogo_mandate,58,Мужской,Рыбы,Единая Россия,"Новосибирский электротехнический институт, 1979Высшая комсомольская школа при ЦК ВЛКСМ, 1983","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по науке и наукоемким технологиям","",20308453.22,6873.54
"Аршба Отари Ионович",mnogo_mandate,61,Мужской,Овен,Единая Россия,"Высшая Краснознаменная школа КГБ при Совете Министров СССР им. Ф.Э. Дзержинского, 1978","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по гражданскому, уголовному, арбитражному и процессуальному законодательству","",18313430.32,3737231.15
"Земцов Николай Георгиевич",mnogo_mandate,49,Мужской,Скорпион,Единая Россия,"Всероссийский государственный институт кинематографии им. С.А. Герасимова, 1998","Региональная Патриотическая Общественная Организация 'Бессмертный полк-Москва'","руководитель организации","",2506950.56,123880.8
"Брыксин Александр Юрьевич",mnogo_mandate,49,Мужской,Водолей,Единая Россия,"Кемеровский технологический институт пищевой промышленности, 1996","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по вопросам собственности","",16467234.04,1354657.86
"Скруг Валерий Степанович",mnogo_mandate,53,Мужской,Близнец,Единая Россия,"Всесоюзный ордена Знака Почета заочный финансово-экономический институт, 1990","Белгородская торгово-промышленная палата","президент","",2519013.95,41994.81
"Макаров Андрей Михайлович",mnogo_mandate,62,Мужской,Рак,Единая Россия,"Московский государственный университет им. М.В. Ломоносова, 1976","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по бюджету и налогам","",4744151.65,5308186.72
"Ревенко Евгений Васильевич",mnogo_mandate,44,Мужской,Близнец,Единая Россия,"Московский государственный университет имени М.В. Ломоносова, 2007","федеральное государственное унитарное предприятие 'Всероссийская государственная телевизионная и радиовещательная компания'","заместитель генерального директора","",6331187.84,3200513.86
"Кулик Геннадий Васильевич",mnogo_mandate,81,Мужской,Водолей,Единая Россия,"Ленинградский ордена Ленина Государственный Университет им. А.А. Жданова, 1957","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по бюджету и налогам","",6447905.34,12091740.72
"Гулевский Михаил Владимирович",mnogo_mandate,68,Мужской,Скорпион,Единая Россия,"Липецкий политехнический институт, 1973","федеральное государственное бюджетное образовательное учреждение высшего образования 'Липецкий государственный технический университет'","доцент кафедры психологии","",3193040.16,9210757.64
"Сапрыкина Татьяна Васильевна",mnogo_mandate,48,Женский,Телец,Единая Россия,"Воронежский государственный медицинский институт им. Н.Н. Бурденко, 1992","Воронежская областная организация профсоюза работников здравоохранения Российской Федерации","председатель Воронежской областной организации профсоюза работников здравоохранения Российской Федерации","",1643546.44,4542.35
"Тимофеева Ольга Викторовна",mnogo_mandate,39,Женский,Лев,Единая Россия,"Ставропольский государственный университет, 1999","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по информационной политике, информационным технологиям и связи","",4999775.21,226428.44
"Клыканов Александр Борисович",mnogo_mandate,63,Мужской,Водолей,Единая Россия,"Астраханский технический институт рыбной промышленности и хозяйства, 1976Поволжский социально-политический институт, 1991","Дума Астраханской области","депутат, Председатель Думы Астраханской области","",2649553.74,133634.4
"Кобилев Алексей Геннадьевич",mnogo_mandate,57,Мужской,Дева,Единая Россия,"Новочеркасский ордена Трудового Красного Знамени политехнический институт имени Серго Орджоникидзе, 1981Российская академия государственной службы при Президенте Российской Федерации, 1995","Торгово-промышленная палата Ростовской области","первый вице-президент","",2435275.91,1778747.05
"Водолацкий Виктор Петрович",mnogo_mandate,59,Мужской,Лев,Единая Россия,"Ростовский государственный университет, 1996","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по обороне","",5552116.77,5649204.33
"Каминский Александр Викторович",mnogo_mandate,59,Мужской,Скорпион,Единая Россия,"Новочеркасский ордена Трудового Красного Знамени политехнический институт имени Серго Орджоникидзе, 1983","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по энергетике","",5311028.97,295957.88
"Лавриненко Алексей Федорович",mnogo_mandate,61,Мужской,Лев,Единая Россия,"Ставропольский ордена Трудового Красного Знамени сельскохозяйственный институт, 1977","Сельскохозяйственный производственный кооператив (колхоз) имени Апанасенко","председатель","",767783.69,226432.81
"Адучиев Батор Канурович",mnogo_mandate,53,Мужской,Водолей,Единая Россия,"Московский институт коммунального хозяйства и строительства, 1992Государственное образовательное учреждение высшего профессионального образования Санкт-Петербургский университет МВД России, 2005","Общество с ограниченной ответственностью 'Агрофима Адучи'","исполнительный директор ООО 'Агрофима Адучи'","",628918,20294.71
"Сафаралиев Гаджимет Керимович",mnogo_mandate,66,Мужской,Рак,Единая Россия,"Дагестанский государственный университет им.В.И.Ленина, 1972Государственное образовательное учреждение высшего профессионального образования 'Санкт-Петербургский государственный инжененрно-экономический университет', 2007","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по делам национальностей","",6713605.16,466601.77
"Гаджиев Магомед Тажудинович",mnogo_mandate,51,Мужской,Овен,Единая Россия,"Институт управления и бизнеса, 1996Дагестанский государственный университет, 1998","Государственная Дума Федерального Собрания Российской Федерациии","депутат, член Комитета Государственной Думы по вопросам собственности","",5935273.6,21955844.58
"Аскендеров Заур Асевович",mnogo_mandate,46,Мужской,Рак,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Дагестанский государственный университет', 2015Федеральное государственное бюджетное образовательное учреждение высшего образования 'Российская академия народного хозяйства и государственной службы при Президенте Российский Федерации', 2016","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по вопросам собственности","",4735560.13,16146.6
"Гаджиев Мурад Станиславович",mnogo_mandate,55,Мужской,Лев,Единая Россия,"Дагестанский политехнический институт, 1988","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по экономической политике, инновационному развитию и предпринимательству","",24542732.05,17614989.64
"Левицкий Юрий Андреевич",mnogo_mandate,55,Мужской,Весы,Единая Россия,"Дагестанский государственный университет им.В.И.Ленина, 1983","Народное Собрание Республики Дагестан","депутат, Первый заместитель Председателя Народного Собрания Республики Дагестан","",1907722.81,8765.24
"Селимханов Магомед Саламович",mnogo_mandate,40,Мужской,Водолей,Единая Россия,"Грозненский государственный нефтяной институт им. акад. М. Д. Миллионщикова, 2001","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по делам общественных объединений и религиозных организаций","",4735560.13,249165.62
"Саралиев Шамсаил Юнусович",mnogo_mandate,43,Мужской,Скорпион,Единая Россия,"Чеченский институт управления, 1994Чеченский государственый университет, 2010","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по международным делам","",4775893.62,141579.05
"Геккиев Заур Далхатович",mnogo_mandate,55,Мужской,Водолей,Единая Россия,"Кабардино-Балкарский агромелиоративный институт, 1983Северо-Кавказский социально-политический институт, 1992Кабардино-Балкарский государственный университет, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по федеративному устройству и вопросам местного самоуправления","",4735560.17,93730.19
"Кривоносов Сергей Владимирович",mnogo_mandate,45,Мужской,Близнец,Единая Россия,"Новочеркасское высшее военное командное Краснознамённое училище связи имени Маршала Советского Союза Соколовского В.Д., 1992","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по экономической политике, инновационному развитию и предпринимательству","",12235560.13,273862.37
"Костенко Наталья Васильевна",mnogo_mandate,36,Женский,Лев,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Кубанский государственный университет', 2004","Общероссийское общественное движение «НАРОДНЫЙ ФРОНТ «ЗА РОССИЮ»","заместитель Руководителя Исполкома по проектной работе","",1949241.58,354110.07
"Воевода Алексей Иванович",mnogo_mandate,36,Мужской,Телец,Единая Россия,"г. Сочи Государственное общеобразовательное учреждение высшего профессионального образования 'Сочинский государственный университет туризма и курортного дела', 2003","Государственное бюджетное учреждение Краснодарского края 'Центр спортивной подготовки по зимним видам спорта'","начальник сборных команд Краснодарского края","",2873826.51,4166397.31
"Скоробогатько Александр Иванович",mnogo_mandate,49,Мужской,Весы,Единая Россия,"Славянский государственный педагогический институт, 1994Российская экономическая академия имени Г.В. Плеханова, 1996","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по гражданскому, уголовному, арбитражному и процессуальному законодательству","",745173681.85,739853886.13
"Ткачев Алексей Николаевич",mnogo_mandate,59,Мужской,Рыбы,Единая Россия,"Саратовское высшее военное командное училище им. Героя Советского Союза генерал-майора А.И. Лизюкова, 1979Федеральное государственное образовательное учреждение высшего профессионального образования 'Новочеркасская государственная мелиоративная академия', 2003","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по природным ресурсам, природопользованию и экологии","",6387597.24,6059786.67
"Меткин Александр Михайлович",mnogo_mandate,65,Мужской,Близнец,Единая Россия,"Московский ордена Ленина и ордена Трудового Красного Знамени государственный педагогический институт им. В.И. Ленина, 1973","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по энергетитке","",14173149.81,13453535.7
"Шеремет Михаил Сергеевич",mnogo_mandate,45,Мужской,Близнец,Единая Россия,"Симферопольское высшее военное строительное училище, 1993","Совет министров Республики Крым","первый заместитель Председателя Совета министров Республики Крым","",2347415.57,198847.84
"Бальбек Руслан Исмаилович",mnogo_mandate,39,Мужской,Дева,Единая Россия,"Таврический национальный университет имени В.И. Вернадского, 2001","Совет министров Республики Крым","заместитель Председателя Совета министров Республики Крым","",1787631,7727.15
"Говорухин Станислав Сергеевич",mnogo_mandate,80,Мужской,Овен,Единая Россия,"Казанский Государственный университет имени В.И. Ульянова-Ленина, 1958Всесоюзный государственный институт кинематографии, 1967","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по культуре","",15412066.97,110292701.25
"Антошкин Николай Тимофеевич",mnogo_mandate,74,Мужской,Стрелец,Единая Россия,"Оренбургское высшее военное авиационное училище летчиков, 1965Военно-воздушная Краснознаменная ордена Кутузова академия им. Ю.А. Гагарина, 1973Военная орденов Ленина и Суворова академия Генерального штаба ВС СССР имени К.Е. Ворошилова, 1983","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по природным ресурсам, природопользованию и экологии","",6304882.96,5781087.53
"Ресин Владимир Иосифович",mnogo_mandate,80,Мужской,Рыбы,Единая Россия,"Московский горный институт имени И.В. Сталина, 1958","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по земельным отношениям и строительству","",24148132.2,166847260.76
"Крупенников Владимир Александрович",mnogo_mandate,47,Мужской,Дева,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение инклюзивного высшего образования 'Московский государственный гуманитарно-экономический университет', 1999","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по информационной политике, информационным технологиям и связи","",5210146.08,3412443.84
"Боярский Сергей Михайлович",mnogo_mandate,36,Мужской,Водолей,Единая Россия,"Северо-Западная академия государственной службы, 2002Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2012","Акционерное общество 'Городское агентство по телевидению и радиовещанию'","Генеральный директор","",4783688.64,32628.54
"Будуев Николай Робертович",mnogo_mandate,42,Мужской,Овен,Единая Россия,"Бурятский государственный университет, 1996","Общество с ограниченной ответственностью 'Издательство Бурмакина'","генеральный директор ООО 'Издательство Бурмакина'","",1052542,41347.11
"Лященко Алексей Вадимович",mnogo_mandate,42,Мужской,Дева,Единая Россия,"Федеральное государственное образовательное учреждение высшего профессионального образования «Московский пограничный институт Федеральной службы безопасности Российской Федерации», 2010","Открытое акционерное общество Промышленная группа «Новик»","генеральный директор","",25793508.55,4592999.57
"Миронов Сергей Михайлович",mnogo_mandate,63,Мужской,Водолей,Справедливая Россия,"Ленинградский ордена Ленина, ордена Октябрьской Революции и ордена Трудового Красного Знамени горный институт им. Г.В. Плеханова, 1980","Государственная Дума Федерального Собрания Российской Федерации","депутат, руководитель фракции Политической партии СПРАВЕДЛИВАЯ РОССИЯ, член Комитета Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству","",4735563.23,106940.61
"Терентьев Александр Васильевич",mnogo_mandate,55,Мужской,Козерог,Справедливая Россия,"Ноябрьский нефтяной техникум, 1991","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по земельным отношениям и строительству","",5735560.13,1568416.27
"Омаров Гаджимурад Заирбекович",mnogo_mandate,54,Мужской,Рыбы,Справедливая Россия,"Дагестанский государственный университет им. В.И. Ленина, 1986","Автономная некоммерческая организация 'Центр по защите прав туристов'","Председатель Президиума","",0,9167.61
"Газзаев Валерий Георгиевич",mnogo_mandate,62,Мужской,Лев,Справедливая Россия,"Всесоюзный юридический заочный институт, 1981","Региональная общественная организация 'Объединение отечественных тренеров по футболу'","заместитель Председателя Правления","",37162098.02,82608959.51
"Шеин Олег Васильевич",mnogo_mandate,44,Мужской,Овен,Справедливая Россия,"Астраханский государственный педагогический институт имени С.М. Кирова, 1994","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству","",1833401.39,654921.57
"Ананских Игорь Александрович",mnogo_mandate,50,Мужской,Дева,Справедливая Россия,"Ленинградское ордена Октябрьской Революции высшее инженерное морское училище имени адм. С.О.Макарова, 1988","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по физической культуре, спорту и делам молодежи","",4733899.2,2334764.52
"Николаев Олег Алексеевич",mnogo_mandate,47,Мужской,Стрелец,Справедливая Россия,"Чувашский государственный университет имени И.Н. Ульянова, 1998","","индивидуальный предприниматель","",127221.78,359.43
"Белоусов Вадим Владимирович",mnogo_mandate,56,Мужской,Весы,Справедливая Россия,"Челябинский политехнический институт Ленинского комсомола, 1987","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета по земельным отношениям и строительству","",4845877.35,8578804.88
"Чепа Алексей Васильевич",mnogo_mandate,61,Мужской,Скорпион,Справедливая Россия,"Московский ордена Ленина авиационный институт им. С. Орджоникидзе, 1979","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета по науке и наукоемким технологиям","",178588505.04,173210.49
"Епифанова Ольга Николаевна",mnogo_mandate,50,Женский,Лев,Справедливая Россия,"ГОУ Поморский государственный университет имени М.В. Ломоносова, 2002","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по вопросам семьи, женщин и детей","",24552601.18,255681.97
"Крючек Сергей Иванович",mnogo_mandate,53,Мужской,Лев,Справедливая Россия,"Ярославское высшее военное финансовое ордена Красной Звезды училище имени генерала армии А.В. Хрулева, 1984","ЗАО 'Холдинговая компания 'Синдика'","Председатель Совета директоров","",2480800,117042.66
"Рыжак Николай Иванович",mnogo_mandate,71,Мужской,Рак,Справедливая Россия,"Высшая школа КГБ СССР имени Ф.Э. Дзержинского, 1986","ФГУП 'Бирюлевский экспериментальный завод'","советник","",1499930.12,8066465.96
"Ремезков Александр Александрович",mnogo_mandate,54,Мужской,Овен,Справедливая Россия,"Кубанский государственный аграрный университет, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета по гражданскому, уголовному, арбитражному и процессуальному законодательству","",158428620.96,168469759.68
"Бурков Александр Леонидович",mnogo_mandate,49,Мужской,Телец,Справедливая Россия,"Уральский ордена Трудового Красного Знамени политехнический институт им. С.М. Кирова, 1989","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета по федеративному устройству и вопросам местного самоуправления","",4735560.13,9352.59
"Гартунг Валерий Карлович",mnogo_mandate,56,Мужской,Скорпион,Справедливая Россия,"Челябинский политехнический институт им. Ленинского комсомола, 1983","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета по промышленности","",18362770.25,4637660.74
"Нилов Олег Анатольевич",mnogo_mandate,54,Мужской,Телец,Справедливая Россия,"Ленинградский институт авиационного приборостроения, 1985","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по транспорту","",4735560.13,0
"Жириновский Владимир Вольфович",mnogo_mandate,70,Мужской,Телец,ЛДПР,"Московский государственный университет им. М.В. Ломоносова (институт восточных языков), 1970Московский государственный университет им. М.В. Ломоносова, 1977","Государственная Дума Федерального Собрания Российской Федерации","депутат, Руководитель фракции Политической партии 'Либерально-демократическая партия России', член Комитета Государственной Думы по обороне","",5306537.25,7038285.38
"Лебедев Игорь Владимирович",mnogo_mandate,44,Мужской,Весы,ЛДПР,"Московская государственная юридическая академия, 1996","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель Председателя Государственной Думы, член Комитета Государственной Думы по конституционному законодательсту и государственному строительству","",16854880.71,17328443.86
"Слуцкий Леонид Эдуардович",mnogo_mandate,48,Мужской,Козерог,ЛДПР,"Московский экономико-статистический институт, 1996","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками","",5299998,2704179.47
"Нилов Ярослав Евгеньевич",mnogo_mandate,34,Мужской,Рыбы,ЛДПР,"Государственное образовательное учреждение высшего профессионального образования 'Московский энергетический институт (технический университет)', 2005","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по делам общественных объединений и религиозных организаций","",5780166.24,16335719.07
"Дегтярев Михаил Владимирович",mnogo_mandate,35,Мужской,Рак,ЛДПР,"государственное образовательное учреждение высшего профессионального образования 'Самарский государственный аэрокосмический университет имени академика С.П. Королева', 2004","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по науке и наукоемким технологиям","",4828935.15,290823.87
"Курдюмов Александр Борисович",mnogo_mandate,49,Мужской,Стрелец,ЛДПР,"Волго-Вятская академия государственной службы, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по Регламенту и организации работы Государственной Думы","",8677226.72,31286.11
"Свищев Дмитрий Александрович",mnogo_mandate,47,Мужской,Близнец,ЛДПР,"Финансовая академия при Правительстве Российской Федерации - государственное образовательное учреждение высшего профессионального образования, 2004","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по физической культуре, спорту и делам молодежи","",7654944.32,81525.35
"Каргинов Сергей Генрихович",mnogo_mandate,47,Мужской,Дева,ЛДПР,"негосударственная автономная некоммерческая организация высшего профессионального образования 'Институт мировых цивилизаций', 2016","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по аграрным вопросам","",4799510.87,457275.15
"Тарасюк Василий Михайлович",mnogo_mandate,68,Мужской,Весы,ЛДПР,"Киевский торгово-экономический институт, 1974","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по энергетике","",81000664.71,1081000005.13
"Сухарев Иван Константинович",mnogo_mandate,38,Мужской,Близнец,ЛДПР,"Башкирский государственный университет, 2000федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2013","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по гражданскому, уголовному, арбитражному и процессуальному законодательству","",4738287.23,187.7
"Шперов Павел Валентинович",mnogo_mandate,45,Мужской,Рак,ЛДПР,"","","индивидуальный предприниматель","",0,0
"Селезнев Валерий Сергеевич",mnogo_mandate,52,Мужской,Дева,ЛДПР,"Дальневосточный институт советской торговли, 1986","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по вопросам собственности","",392754381.04,453099354.83
